rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Odf2,0.003622685,0.401959042,0.43,0.236,1,1.321300893,,,
Srebf2,0.005679079,0.400079862,0.601,0.438,1,1.319580956,,,
1110059E24Rik,0.013055542,0.400071379,0.404,0.258,1,1.319573197,,,
Abcf1,0.017384135,0.398970933,0.285,0.157,1,1.318567048,,,
Ppara,0.001456376,0.398697093,0.389,0.191,1,1.318316793,,,
Ccny,0.19273591,0.398255811,0.715,0.719,1,1.317913617,,,
Def6,0.014828793,0.397665835,0.187,0.079,1,1.317374779,,,
5330438D12Rik,0.002365309,0.39704978,0.596,0.393,1,1.316812357,,,
Ermp1,0.127472616,0.396305106,0.435,0.36,1,1.316132835,,,
Gpsm2,0.026181621,0.395538186,0.13,0.045,1,1.31543338,,,
Mfn2,0.001029291,0.395090892,0.259,0.09,1,1.315025606,,,
Gm13219,0.017566154,0.394189578,0.347,0.202,1,1.31420431,,,
Tcea1,0.006333275,0.394003467,0.528,0.382,1,1.314034785,,,
Btg1,0.001562027,0.39348303,0.337,0.157,1,1.313560846,,,
Drg1,0.01610559,0.392926558,0.632,0.461,1,1.313054281,,,
Ilf2,0.004626327,0.392236089,0.352,0.18,1,1.312426008,,,
Gm20721,0.00032663,0.392159828,0.228,0.056,1,1.312356635,,,
Clip1,0.046332136,0.391859572,0.679,0.607,1,1.312083533,,,
Cebpg,0.038181319,0.391461834,0.264,0.169,1,1.311721854,,,
Klf5,0.039896978,0.391134766,0.554,0.449,1,1.311424512,,,
Aplp2,0.109350089,0.390738121,0.622,0.506,1,1.311064008,,,
