rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold
9530026P05Rik,1.72084799073488e-51,0.260449393905561,0.595,0.524,5.55214395730703e-47,1.19785177268914
Chpt1,6.92551960891962e-28,0.26024506255238,0.936,0.946,2.23444964662183e-23,1.19768213091821
Mpp5,7.91964502950781e-59,0.259750055036961,0.798,0.737,2.5551942723204e-54,1.19727126102441
Dock9,5.21271572984382e-33,0.258662585220792,0.843,0.823,1.68183060307681e-28,1.19636912596655
Gm15640,5.31725845767604e-130,0.258320991865367,0.21,0.1,1.7155602687846e-125,1.19608588983224
Prrg4,4.6529105677631e-145,0.258273569977412,0.16,0.062,1.50121506558309e-140,1.19604657471904
Gpc4,2.16110218808872e-31,0.256996007957456,0.9,0.904,6.97258009964944e-27,1.19498789823342
Sik1,7.76529863708162e-67,0.256187450189752,0.488,0.372,2.50539595226801e-62,1.19431835545912
Cotl1,1.29211179862201e-94,0.25604378545974,0.301,0.189,4.16886950707406e-90,1.19419943020022
Fh1,1.1481567538538e-80,0.255482564860481,0.321,0.221,3.70441295063389e-76,1.19373496684572
Snx5,1.18617777669588e-80,0.254952389435514,0.478,0.361,3.82708397873158e-76,1.19329636225529
Mogat1,1.22205153411288e-130,0.254227208881496,0.352,0.208,3.94282706966179e-126,1.19269669438327
Gm45792,0.0469769699344574,0.253967589224632,0.681,0.787,1,1.19248208239794
1700007F19Rik,4.79653845950366e-61,0.253680909290432,0.143,0.08,1.54755516857426e-56,1.19224514616979
Gns,3.87453270367681e-63,0.252057276153691,0.666,0.575,1.25007923151429e-58,1.19090412827836
Hsdl2,1.03415790166947e-123,0.25125870454958,0.316,0.187,3.33660705394638e-119,1.19024511231649
4930402H24Rik,1.07782020513563e-76,0.2502601536107,0.895,0.847,3.47747910984958e-72,1.18942157780454
Gm13684,8.3628413366973e-89,0.250236067915548,0.382,0.261,2.69818712887202e-84,1.18940172065831
Mtus1,1.86541536681533e-70,-0.250653085788368,0.786,0.817,6.01857613949299e-66,-1.18974557258416
Mpped2,1.10503434830386e-78,-0.250757848663006,0.171,0.264,3.56528282136757e-74,-1.18983197039404
Crocc,9.15009287717528e-43,-0.251222718358277,0.315,0.362,2.95218596589183e-38,-1.19021542353757
Gpr137b,8.54956351250014e-46,-0.252124057843745,0.461,0.508,2.75843117167304e-41,-1.19095925595876
Atp5b,3.1393389216178e-257,-0.252535601988205,0.032,0.15,1.01287630967077e-252,-1.19129903824717
Ncam2,6.59263752071648e-55,-0.252557411384863,0.201,0.28,2.12704856968397e-50,-1.19131704739595
Pipox,8.35714082285349e-54,-0.25351396929889,0.746,0.761,2.69634791508545e-49,-1.19210719471508
Rbms1,6.18815099276079e-81,-0.253734251714361,0.526,0.643,1.99654503630434e-76,-1.19228922923652
Atp5l,0,-0.254384517189568,0.007,0.116,0,-1.19282675050947
Grina,5.13949473589747e-166,-0.254396666301206,0.221,0.378,1.65820658158996e-161,-1.19283679549193
Pyroxd2,6.77681368445476e-46,-0.254886513446063,0.338,0.389,2.18647116715248e-41,-1.19324187549152
Gtf2i,1.02488309665107e-61,-0.254970547153166,0.67,0.709,3.30668282303501e-57,-1.19331138114296
Garem1,5.75443099645974e-60,-0.255652839899456,0.439,0.506,1.85660961669777e-55,-1.19387586652158
Acsm5,1.84437058860689e-54,-0.256623506453465,0.483,0.539,5.95067726708126e-50,-1.19467939413856
Tm9sf3,2.89905953765597e-59,-0.256919947285726,0.402,0.474,9.35352569229321e-55,-1.19492489865017
2610037D02Rik,1.59579115420691e-71,-0.257052363412658,0.354,0.443,5.14866057993319e-67,-1.19503457850915
Prkd3,1.52103110794358e-74,-0.257155841507508,0.273,0.363,4.90745476666915e-70,-1.19512029609523
Gm30097,4.13160404066226e-52,-0.2571810048943,0.13,0.192,1.33302072767927e-47,-1.19514114148229
Tmem174,6.90828574448105e-175,-0.257467022020952,0.119,0.245,2.22888931259937e-170,-1.19537810405033
Tfec,2.82636190370841e-66,-0.257681817903291,0.248,0.328,9.11897404612482e-62,-1.19555609136041
Add3,9.74787806357165e-63,-0.258812031323553,0.487,0.562,3.14505537843076e-58,-1.19649306204382
Gas2,1.04352132080296e-84,-0.259328451465244,0.859,0.88,3.36681718943867e-80,-1.19692142957911
Gm12940,7.10578639853256e-89,-0.259663477033789,0.176,0.266,2.29261092362255e-84,-1.19719941337688
Zc3h12c,1.78658771951268e-65,-0.25973919971654,0.543,0.62,5.76424661823571e-61,-1.19726225238855
Msn,8.08089209582949e-203,-0.259894245484177,0.094,0.225,2.60721902579843e-198,-1.19739092852238
Prdm5,9.53636595424865e-29,-0.259931243716976,0.228,0.28,3.07681311147879e-24,-1.19742163627082
Aldh8a1,8.51993702414562e-57,-0.260950366465832,0.596,0.636,2.74887248147034e-52,-1.19826779621076
Ccdc107,5.30651643554562e-136,-0.260992026406348,0.314,0.465,1.71209446276444e-131,-1.1983023984548
Osbpl6,3.86590363001838e-83,-0.261987925118674,0.898,0.908,1.24729514718913e-78,-1.19912987742781
Exoc4,2.48024448593885e-86,-0.262558181712198,0.852,0.89,8.00226080943311e-82,-1.19960395328116
Pde4c,4.09931803903541e-56,-0.26291093096703,0.487,0.545,1.32260397211439e-51,-1.19989730088796
Adgrl2,2.07415917929178e-53,-0.262992788082152,0.434,0.497,6.69206717606701e-49,-1.19996538382664
Dock4,2.38891380708098e-51,-0.263708212594139,0.715,0.757,7.70759150716607e-47,-1.20056058760767
Gm45645,2.70877498290649e-62,-0.264324726891516,0.144,0.218,8.7395916048495e-58,-1.20107373897886
1700012D14Rik,5.92718721539912e-75,-0.264650314286779,0.274,0.368,1.91234768317637e-70,-1.20134482787084
Zc3h6,3.09362488770913e-64,-0.265474119964356,0.22,0.297,9.98127133770473e-60,-1.2020310139857
Ksr2,7.99650539220659e-55,-0.265510882092505,0.565,0.618,2.57999249974153e-50,-1.20206164400794
Gpm6a,6.01031723905474e-30,-0.265889653986363,0.457,0.517,1.93916875400862e-25,-1.20237728031845
Iqgap1,0,-0.266064284664601,0.05,0.197,0,-1.20252283059937
Pacsin2,4.21597390154231e-70,-0.266826805731632,0.512,0.572,1.36024181959361e-65,-1.2031585792021
Skap2,1.10335161735613e-46,-0.267341048213703,0.462,0.505,3.55985365823783e-42,-1.20358751637792
