rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Arl5a,0.006363304,0.796197688,0.421,0.154,1,1.736518388,,,
Lims1,0.101544003,0.79597246,0.789,0.718,1,1.736247311,,,
Itgb5,0.002369447,0.795657316,0.921,0.821,1,1.735868084,,,
Wipf3,0.007910489,0.79422462,0.842,0.744,1,1.734145104,,,
Arhgap32,0.05734613,0.792058462,0.658,0.59,1,1.731543297,,,
Daam2,0.148214038,0.791632573,0.368,0.256,1,1.731032214,,,
Ntrk3,0.007911013,0.790861595,0.921,0.615,1,1.730107395,,,
Gm16083,0.036927523,0.78705115,0.447,0.231,1,1.725543866,,,
Hivep3,0.549925564,0.780293611,0.421,0.41,1,1.717480372,,,
Dpp4,0.007135818,0.778041838,0.921,0.923,1,1.714801802,,,
Cys1,0.001550071,0.774977812,0.368,0.077,1,1.711163735,,,
Fam83g,0.62197191,0.773769641,0.132,0.103,1,1.709731336,,,
Nxn,0.035592992,0.773338007,0.737,0.667,1,1.709219886,,,
Ksr1,0.000725303,0.773234607,0.947,0.667,1,1.709097387,,,
Cry2,0.226804622,0.770559703,0.5,0.462,1,1.705931482,,,
Pcmtd2,0.057650407,0.770020144,0.395,0.256,1,1.705293594,,,
Bbx,0.022971946,0.768620584,0.842,0.667,1,1.703640089,,,
Arhgef17,0.296053785,0.766944384,0.474,0.385,1,1.701661859,,,
Ust,0.193015781,0.757547807,0.316,0.205,1,1.690614592,,,
H2-Q6,0.117246733,0.753869876,0.421,0.256,1,1.686310117,,,
Gm29040,0.019074762,0.753825028,0.237,0.051,1,1.686257696,,,
Gm47271,0.00139471,0.750189129,0.237,0,1,1.682013319,,,
Fam78b,0.034165914,0.748782469,0.526,0.333,1,1.680374117,,,
Sep-06,0.107635714,0.747179769,0.316,0.179,1,1.678508414,,,
4921504A21Rik,0.058065929,0.743784463,0.5,0.308,1,1.674562778,,,
Nr6a1os,0.051552678,0.741933416,0.289,0.128,1,1.672415612,,,
Fa2h,0.241733464,0.741727665,0.342,0.256,1,1.672177116,,,
Dock5,0.002200784,0.737974416,1,1,1,1.667832511,,,
Fchsd2,0.005664446,0.734388066,0.921,0.949,1,1.663691648,,,
Ubap2,0.095939659,0.730598584,0.5,0.385,1,1.659327415,,,
Inf2,0.289417643,0.726926892,0.368,0.282,1,1.655109758,,,
Tmem150c,0.02313116,0.725077428,0.895,0.795,1,1.652989348,,,
Gm36975,0.479663474,0.723611925,0.263,0.231,1,1.651311079,,,
Ptpn11,0.011857097,0.721061709,0.5,0.256,1,1.648394676,,,
Ociad1,0.006862134,0.717146544,0.474,0.205,1,1.643927351,,,
Hs3st3b1,0.345603669,0.710062441,0.237,0.154,1,1.635874917,,,
Sulf1,0.027264,0.706784975,0.684,0.513,1,1.63216281,,,
Tent2,0.008806352,0.705103858,0.763,0.538,1,1.630262021,,,
Eya4,0.188156871,0.699423488,0.474,0.385,1,1.623855757,,,
Fancc,0.026671633,0.696427694,0.711,0.513,1,1.620487278,,,
Dym,0.028905056,0.693134405,0.711,0.513,1,1.616792354,,,
Zfp423,0.034223388,0.69270967,0.579,0.359,1,1.616316435,,,
Parp12,0.011745722,0.692455636,0.395,0.154,1,1.616031854,,,
Ppp2r5c,0.210156907,0.690335615,0.579,0.59,1,1.613658861,,,
Stat2,0.126032634,0.689711136,0.289,0.154,1,1.61296053,,,
Slc9a3r2,0.004151747,0.688436318,0.342,0.077,1,1.61153589,,,
Magi2,0.000787418,0.688364555,1,1,1,1.611455729,,,
Ostf1,0.127822463,0.687746511,0.658,0.538,1,1.610765537,,,
Zbtb8a,0.13162569,0.685406957,0.421,0.308,1,1.608155548,,,
Natd1,0.047797658,0.683269401,0.342,0.154,1,1.605774603,,,
Slc34a1,0.49064327,0.68275248,0.211,0.154,1,1.605199354,,,
Tmem87b,0.023446553,0.682614351,0.5,0.282,1,1.605045673,,,
Cmas,0.055181282,0.681381666,0.184,0.051,1,1.603674856,,,
Inpp4a,0.059356421,0.681130178,0.605,0.436,1,1.603395331,,,
Map3k20,0.021445033,0.67650075,0.684,0.487,1,1.598258481,,,
Ddn,0.160840614,0.675244847,0.684,0.538,1,1.596867762,,,
Ric8b,0.054514838,0.673301918,0.553,0.333,1,1.594718651,,,
Diaph2,0.001576363,0.671979662,0.974,0.821,1,1.593257732,,,
Ap4s1,0.018816247,0.664494682,0.316,0.103,1,1.58501301,,,
Ogt,0.007046021,0.662816108,0.895,0.718,1,1.583169921,,,
Pros1,0.029695946,0.66075782,0.711,0.41,1,1.580912829,,,
C1qtnf1,0.200807649,0.660102854,0.395,0.308,1,1.580195277,,,
Raph1,0.260320532,0.656161811,0.447,0.359,1,1.575884512,,,
Pacrg,0.216595131,0.652316868,0.316,0.205,1,1.571690196,,,
Slco2a1,0.043953705,0.652107644,0.684,0.487,1,1.571462281,,,
Mast4,0.029981252,0.650794792,0.974,0.923,1,1.570032901,,,
Caprin2,0.015907104,0.650312455,0.237,0.051,1,1.569508079,,,
Kpna1,0.031289955,0.649944904,0.395,0.179,1,1.569108271,,,
Gm12830,0.017427923,0.649695052,0.237,0.051,1,1.56883655,,,
Pced1b,0.439143766,0.64890789,0.474,0.436,1,1.567980796,,,
Me2,0.198060188,0.648845289,0.132,0.051,1,1.56791276,,,
