rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Prr5l,0.001783162,0.251752509,0.235,0.153,1,1.190652578,,,
Piezo1,0.000559885,0.251105107,0.583,0.454,1,1.190118399,,,
Gm31683,1.14E-05,0.250888115,0.18,0.079,0.367541914,1.18993941,,,
Dennd2a,0.009834196,0.250761217,0.23,0.166,1,1.189834749,,,
Stk39,2.72E-06,-0.250033311,0.218,0.352,0.087718018,-1.189234573,,,
Huwe1,0.001999769,-0.250582009,0.877,0.903,1,-1.189686959,,,
Zmynd11,0.03187155,-0.25078534,0.595,0.62,1,-1.189854643,,,
Mpped2,0.015959948,-0.250924608,0.211,0.273,1,-1.18996951,,,
Numa1,0.002383441,-0.252221168,0.458,0.518,1,-1.191039424,,,
Tbc1d32,0.000882704,-0.252432972,0.279,0.365,1,-1.191214295,,,
Mfsd4b5,0.048573234,-0.253159525,0.318,0.365,1,-1.191814351,,,
Gm48530,0.006681339,-0.253252371,0.078,0.128,1,-1.191891054,,,
Rassf6,0.000381866,-0.253387948,0.152,0.24,1,-1.192003067,,,
Ccdc34,5.35E-06,-0.253757995,0.05,0.13,0.172677918,-1.192308851,,,
Rdh16f2,0.330477692,-0.25417878,0.118,0.13,1,-1.192656658,,,
Cpeb2,0.000975644,-0.254312482,0.476,0.548,1,-1.192767193,,,
Vps54,0.000953355,-0.254533985,0.545,0.62,1,-1.192950338,,,
Banp,0.000284778,-0.254722666,0.394,0.503,1,-1.193106366,,,
Rbms3,2.91E-06,-0.254726571,0.161,0.288,0.093747289,-1.193109596,,,
Ankib1,0.000541842,-0.254813151,0.651,0.747,1,-1.193181199,,,
Tpmt,0.001856552,-0.255211873,0.216,0.296,1,-1.193511008,,,
Tpk1,0.000111254,-0.255416092,0.652,0.773,1,-1.193679966,,,
Kmt2d,0.001829306,-0.255431574,0.196,0.273,1,-1.193692776,,,
Foxp1,9.06E-05,-0.255468567,0.901,0.926,1,-1.193723385,,,
Cacna1d,0.006416093,-0.255537244,0.175,0.24,1,-1.193780211,,,
Mtus1,0.00012009,-0.256071402,0.443,0.574,1,-1.19422229,,,
Wdr11,0.000150779,-0.256074548,0.176,0.276,1,-1.194224894,,,
Galnt1,0.00099628,-0.256224132,0.462,0.548,1,-1.194348723,,,
Bbx,0.001155981,-0.256935839,0.599,0.673,1,-1.194938061,,,
Ncald,0.000837274,-0.257065672,0.156,0.24,1,-1.195045603,,,
Wnk1,0.000209858,-0.257074366,0.713,0.786,1,-1.195052804,,,
Stx16,0.005835405,-0.257210077,0.545,0.594,1,-1.195165225,,,
Vps13b,0.000381729,-0.257216194,0.822,0.865,1,-1.195170293,,,
Gm8126,0.007129227,-0.257306562,0.196,0.255,1,-1.195245159,,,
Xrcc4,0.00762463,-0.257514091,0.396,0.459,1,-1.195417105,,,
Arglu1,0.000256709,-0.257635621,0.528,0.635,1,-1.195517809,,,
Cdkl1,0.00014689,-0.258216582,0.161,0.263,1,-1.19599933,,,
Zc3h6,0.018111896,-0.258983812,0.173,0.227,1,-1.196635536,,,
Acadm,9.43E-05,-0.259116849,0.287,0.403,1,-1.196745888,,,
6030443J06Rik,0.001164592,-0.259175115,0.144,0.222,1,-1.196794221,,,
Dcun1d4,0.00301458,-0.260347459,0.284,0.362,1,-1.19776714,,,
Smchd1,0.000140845,-0.260662096,0.536,0.633,1,-1.19802839,,,
Spns3,0.008052275,-0.260868442,0.116,0.171,1,-1.198199754,,,
Rnaset2a,0.002654713,-0.261199506,0.135,0.196,1,-1.198474743,,,
Suclg2,0.000554679,-0.261829319,0.58,0.684,1,-1.198998056,,,
Tbc1d5,0.000122588,-0.262077538,0.78,0.839,1,-1.199204364,,,
Cpd,0.025563975,-0.262877262,0.388,0.436,1,-1.199869299,,,
Slc25a3,0.002709756,-0.263023763,0.197,0.276,1,-1.199991147,,,
Dock2,7.30E-05,-0.263218894,0.062,0.138,1,-1.200153462,,,
Etnk1,0.000808941,-0.264704794,0.491,0.589,1,-1.201390195,,,
