rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Mthfd1l,4.77E-65,0.410083585,0.381,0.222,1.54E-60,1.328762796,,,
AI314278,1.99E-30,0.405793143,0.605,0.506,6.43E-26,1.324817048,,,
Acsl4,1.27E-28,0.405067124,0.412,0.315,4.10E-24,1.324150518,,,
Noct,1.47E-59,0.402484114,0.793,0.671,4.73E-55,1.321781871,,,
Ell2,4.88E-62,0.40233482,0.745,0.592,1.57E-57,1.321645097,,,
Slc22a5,3.14E-77,0.40021825,0.882,0.767,1.01E-72,1.31970754,,,
Gm13270,4.84E-67,0.3996391,0.417,0.253,1.56E-62,1.319177868,,,
1500035N22Rik,5.02E-75,0.399539046,0.374,0.2,1.62E-70,1.319086383,,,
Eef1akmt3,1.48E-70,0.396556496,0.537,0.349,4.78E-66,1.316362192,,,
Snx5,8.20E-69,0.395676774,0.562,0.386,2.65E-64,1.31555975,,,
Prkag2,8.49E-84,0.394183498,0.954,0.889,2.74E-79,1.314198771,,,
Mapk4,1.90E-55,0.389754728,0.892,0.799,6.13E-51,1.310170643,,,
Bcl2l1,2.00E-36,0.388896555,0.8,0.712,6.44E-32,1.309391533,,,
Dhrs4,8.16E-73,0.386382018,0.487,0.314,2.63E-68,1.307111324,,,
Slc27a1,2.14E-129,0.385556765,0.341,0.133,6.89E-125,1.306363842,,,
Tsc22d3,6.84E-46,0.382722576,0.644,0.491,2.21E-41,1.303799996,,,
Sptlc2,3.04E-36,0.382538795,0.767,0.666,9.80E-32,1.303633919,,,
Usp50,3.55E-73,0.382255043,0.506,0.325,1.15E-68,1.303377543,,,
1700007F19Rik,4.26E-48,0.381044121,0.321,0.191,1.37E-43,1.302284016,,,
Slc7a8,7.04E-16,0.380122417,0.771,0.721,2.27E-11,1.301452283,,,
Acaa2,2.24E-74,0.375357982,0.49,0.299,7.24E-70,1.297161385,,,
G6pc,1.04E-10,0.37220101,0.747,0.774,3.35E-06,1.29432598,,,
Gm31641,6.29E-87,0.371622955,0.962,0.926,2.03E-82,1.293807476,,,
Unc13c,2.12E-36,0.368882617,0.609,0.489,6.85E-32,1.291352277,,,
